Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value,Time_HMS
3,500_705_QEPB04081__3__20-45-56-383.txt,1044,220.843,1015.12,1833637.53624,51859.62,504.16,2271.99260536398,2000-01-01 20:45:56
4,500_705_QEPB04081__4__20-45-57-377.txt,1044,220.843,1015.12,1828086.40775,51760.75,504.16,2265.10153256705,2000-01-01 20:45:57
5,500_705_QEPB04081__5__20-45-58-376.txt,1044,220.843,1015.12,1826066.15024,51556.62,504.16,2262.61329501915,2000-01-01 20:45:58
6,500_705_QEPB04081__6__20-45-59-377.txt,1044,220.843,1015.12,1823455.1665,51521,504.16,2259.39367816092,2000-01-01 20:45:59
7,500_705_QEPB04081__7__20-46-00-373.txt,1044,220.843,1015.12,1821466.15075,51361.25,504.16,2256.92816091954,2000-01-01 20:46:00
8,500_705_QEPB04081__8__20-46-01-376.txt,1044,220.843,1015.12,1819396.15476,51372.38,504.16,2254.35509578544,2000-01-01 20:46:01
9,500_705_QEPB04081__9__20-46-02-365.txt,1044,220.843,1015.12,1819133.20274,51282.62,504.16,2254.05103448276,2000-01-01 20:46:02
10,500_705_QEPB04081__10__20-46-03-370.txt,1044,220.843,1015.12,1816399.69175,51318.25,504.16,2250.64176245211,2000-01-01 20:46:03
11,500_705_QEPB04081__11__20-46-04-366.txt,1044,220.843,1015.12,1816715.03526,51218.38,504.16,2251.05337164751,2000-01-01 20:46:04
12,500_705_QEPB04081__12__20-46-05-369.txt,1044,220.843,1015.12,1815152.88475,51234.75,504.16,2249.10823754789,2000-01-01 20:46:05
13,500_705_QEPB04081__13__20-46-06-371.txt,1044,220.843,1015.12,1814557.48026,51169.88,504.16,2248.37425287357,2000-01-01 20:46:06
14,500_705_QEPB04081__14__20-46-07-369.txt,1044,220.843,1015.12,1814586.05825,51190.75,504.16,2248.41091954023,2000-01-01 20:46:07
