Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value,Time_HMS
52,500_145_QEPB04081__52__11-29-46-724.txt,1044,220.843,1015.12,558703.68826,17350.38,507.253,692.644367816095,2000-01-01 11:29:46
53,500_145_QEPB04081__53__11-29-47-719.txt,1044,220.843,1015.12,558957.9005,17366.5,507.253,692.973180076628,2000-01-01 11:29:47
54,500_145_QEPB04081__54__11-29-48-728.txt,1044,220.843,1015.12,558306.66726,17372.88,507.253,692.146283524907,2000-01-01 11:29:48
55,500_145_QEPB04081__55__11-29-49-721.txt,1044,220.843,1015.12,557817.23474,17336.62,507.253,691.534750957851,2000-01-01 11:29:49
56,500_145_QEPB04081__56__11-29-50-720.txt,1044,220.843,1015.12,557957.56925,17329.75,508.027,691.708812260536,2000-01-01 11:29:50
57,500_145_QEPB04081__57__11-29-51-720.txt,1044,220.843,1015.12,558056.17874,17314.62,507.253,691.830727969346,2000-01-01 11:29:51
58,500_145_QEPB04081__58__11-29-52-712.txt,1044,220.843,1015.12,558221.61225,17318.25,508.027,692.0469348659,2000-01-01 11:29:52
59,500_145_QEPB04081__59__11-29-53-722.txt,1044,220.843,1015.12,557841.50726,17357.38,507.253,691.575402298854,2000-01-01 11:29:53
60,500_145_QEPB04081__60__11-29-54-720.txt,1044,220.843,1015.12,557244.91074,17336.62,507.253,690.824022988503,2000-01-01 11:29:54
61,500_145_QEPB04081__61__11-29-55-714.txt,1044,220.843,1015.12,557818.95775,17310.25,507.253,691.549808429119,2000-01-01 11:29:55
62,500_145_QEPB04081__62__11-29-56-715.txt,1044,220.843,1015.12,557903.277,17312,507.253,691.64846743295,2000-01-01 11:29:56
63,500_145_QEPB04081__63__11-29-57-709.txt,1044,220.843,1015.12,557590.592,17321,507.253,691.261494252874,2000-01-01 11:29:57
64,500_145_QEPB04081__64__11-29-58-711.txt,1044,220.843,1015.12,558339.62124,17345.62,507.253,692.197586206894,2000-01-01 11:29:58
65,500_145_QEPB04081__65__11-29-59-706.txt,1044,220.843,1015.12,557688.90176,17334.88,507.253,691.381915708815,2000-01-01 11:29:59
66,500_145_QEPB04081__66__11-30-00-702.txt,1044,220.843,1015.12,557377.72925,17304.75,507.253,690.994252873563,2000-01-01 11:30:00
67,500_145_QEPB04081__67__11-30-01-694.txt,1044,220.843,1015.12,558054.69325,17295.75,507.253,691.848659003831,2000-01-01 11:30:01
68,500_145_QEPB04081__68__11-30-02-695.txt,1044,220.843,1015.12,557428.47274,17311.62,507.253,691.057739463599,2000-01-01 11:30:02
69,500_145_QEPB04081__69__11-30-03-691.txt,1044,220.843,1015.12,562673.03625,17487.25,507.253,697.565134099617,2000-01-01 11:30:03
70,500_145_QEPB04081__70__11-30-04-684.txt,1044,220.843,1015.12,562466.92824,17428.12,507.253,697.305823754786,2000-01-01 11:30:04
71,500_145_QEPB04081__71__11-30-05-681.txt,1044,220.843,1015.12,561930.06626,17383.38,507.253,696.632873563221,2000-01-01 11:30:05
72,500_145_QEPB04081__72__11-30-06-679.txt,1044,220.843,1015.12,562313.44274,17453.62,507.253,697.110421455936,2000-01-01 11:30:06
73,500_145_QEPB04081__73__11-30-07-683.txt,1044,220.843,1015.12,562900.774,17430.5,507.253,697.850574712644,2000-01-01 11:30:07
74,500_145_QEPB04081__74__11-30-08-686.txt,1044,220.843,1015.12,562666.162,17436.5,508.027,697.560344827586,2000-01-01 11:30:08
75,500_145_QEPB04081__75__11-30-09-681.txt,1044,220.843,1015.12,562535.77924,17428.12,507.253,697.392988505744,2000-01-01 11:30:09
76,500_145_QEPB04081__76__11-30-10-674.txt,1044,220.843,1015.12,563053.91775,17444.75,507.253,698.044061302682,2000-01-01 11:30:10
77,500_145_QEPB04081__77__11-30-11-668.txt,1044,220.843,1015.12,562383.06175,17404.25,507.253,697.208812260536,2000-01-01 11:30:11
78,500_145_QEPB04081__78__11-30-12-656.txt,1044,220.843,1015.12,562264.828,17411,507.253,697.060344827586,2000-01-01 11:30:12
79,500_145_QEPB04081__79__11-30-13-652.txt,1044,220.843,1015.12,562012.60874,17450.12,507.253,696.747394636012,2000-01-01 11:30:13
