Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value
51,500_425_QEPB04081__51__15-49-09-405.txt,1044,220.843,1015.12,1278770.72775,37692.25,504.934,1584.77298850575
52,500_425_QEPB04081__52__15-49-10-402.txt,1044,220.843,1015.12,1279250.68774,37701.62,504.934,1585.37383141762
53,500_425_QEPB04081__53__15-49-11-397.txt,1044,220.843,1015.12,1278264.28676,37672.38,504.934,1584.1453256705
54,500_425_QEPB04081__54__15-49-12-388.txt,1044,220.843,1015.12,1278055.726,37699,504.934,1583.88314176245
55,500_425_QEPB04081__55__15-49-13-399.txt,1044,220.843,1015.12,1198055.97525,35289.75,504.16,1484.73946360153
56,500_425_QEPB04081__56__15-49-14-413.txt,1044,220.843,1015.12,1233555.9515,36286.5,504.934,1528.74425287356
57,500_425_QEPB04081__57__15-49-15-417.txt,1044,220.843,1015.12,1274122.34824,37502.62,504.934,1579.01942528735
58,500_425_QEPB04081__58__15-49-16-415.txt,1044,220.843,1015.12,1275352.47324,37480.62,504.16,1580.54911877394
59,500_425_QEPB04081__59__15-49-17-404.txt,1044,220.843,1015.12,1274985.03275,37463.75,504.934,1580.07950191571
60,500_425_QEPB04081__60__15-49-18-398.txt,1044,220.843,1015.12,1275852.5445,37454.5,504.934,1581.16570881226
61,500_425_QEPB04081__61__15-49-19-392.txt,1044,220.843,1015.12,1274806.68226,37531.88,504.934,1579.86275862069
62,500_425_QEPB04081__62__15-49-20-399.txt,1044,220.843,1015.12,1275507.39825,37499.25,504.934,1580.73563218391
63,500_425_QEPB04081__63__15-49-21-398.txt,1044,220.843,1015.12,1274568.78776,37456.88,504.934,1579.57061302682
64,500_425_QEPB04081__64__15-49-22-394.txt,1044,220.843,1015.12,1274821.1355,37416,504.934,1579.88218390805
65,500_425_QEPB04081__65__15-49-23-387.txt,1044,220.843,1015.12,1275029.814,37465,504.934,1580.14176245211
66,500_425_QEPB04081__66__15-49-24-387.txt,1044,220.843,1015.12,1275428.771,37499,504.934,1580.65038314176
67,500_425_QEPB04081__67__15-49-25-389.txt,1044,220.843,1015.12,1275800.328,37520.5,504.934,1581.10536398467
68,500_425_QEPB04081__68__15-49-26-389.txt,1044,220.843,1015.12,1275043.73976,37416.38,504.934,1580.16735632184
69,500_425_QEPB04081__69__15-49-27-384.txt,1044,220.843,1015.12,1275391.14426,37387.38,504.934,1580.61275862069
70,500_425_QEPB04081__70__15-49-28-379.txt,1044,220.843,1015.12,1275296.653,37436,504.934,1580.49137931034
71,500_425_QEPB04081__71__15-49-29-381.txt,1044,220.843,1015.12,1275036.41526,37416.88,504.934,1580.16927203065
72,500_425_QEPB04081__72__15-49-30-372.txt,1044,220.843,1015.12,1274932.52924,37358.62,504.934,1580.03762452107
73,500_425_QEPB04081__73__15-49-31-362.txt,1044,220.843,1015.12,1274351.6955,37340,504.934,1579.32375478927
74,500_425_QEPB04081__74__15-49-32-376.txt,1044,220.843,1015.12,1273776.50225,37297.75,504.934,1578.59770114943
75,500_425_QEPB04081__75__15-49-33-371.txt,1044,220.843,1015.12,1274200.50926,37270.88,504.16,1579.13478927203
76,500_425_QEPB04081__76__15-49-34-363.txt,1044,220.843,1015.12,1274075.53376,37258.38,504.16,1578.97770114943
77,500_425_QEPB04081__77__15-49-35-365.txt,1044,220.843,1015.12,1272581.89574,37330.62,504.934,1577.11233716475
78,500_425_QEPB04081__78__15-49-36-361.txt,1044,220.843,1015.12,1273073.18326,37300.88,504.934,1577.72674329502
79,500_425_QEPB04081__79__15-49-37-359.txt,1044,220.843,1015.12,1273161.61475,37300.25,504.934,1577.84482758621
80,500_425_QEPB04081__80__15-49-38-365.txt,1044,220.843,1015.12,1272987.07626,37236.88,505.707,1577.62521072797
81,500_425_QEPB04081__81__15-49-39-361.txt,1044,220.843,1015.12,1272690.8805,37283.5,504.934,1577.2662835249
82,500_425_QEPB04081__82__15-49-40-351.txt,1044,220.843,1015.12,1271642.37724,37198.62,504.934,1575.95429118774
