Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value,Time_HMS
40,500_565_QEPB04081__40__09-51-07-069.txt,1044,220.843,1015.12,1559235.00475,45069.25,504.16,1932.14559386973,2000-01-01 09:51:07
41,500_565_QEPB04081__41__09-51-08-072.txt,1044,220.843,1015.12,1558672.691,44987.5,504.16,1931.44636015326,2000-01-01 09:51:08
43,500_565_QEPB04081__43__09-51-09-084.txt,1044,220.843,1015.12,1558867.601,44982,504.934,1931.69348659004,2000-01-01 09:51:09
44,500_565_QEPB04081__44__09-51-10-092.txt,1044,220.843,1015.12,1558866.01126,45056.38,504.16,1931.70088122606,2000-01-01 09:51:10
45,500_565_QEPB04081__45__09-51-11-085.txt,1044,220.843,1015.12,1558531.71376,44974.38,504.16,1931.2851724138,2000-01-01 09:51:11
46,500_565_QEPB04081__46__09-51-12-089.txt,1044,220.843,1015.12,1557667.03525,44881.25,504.16,1930.2183908046,2000-01-01 09:51:12
47,500_565_QEPB04081__47__09-51-13-088.txt,1044,220.843,1015.12,1556087.81076,44821.88,504.16,1928.25643678161,2000-01-01 09:51:13
48,500_565_QEPB04081__48__09-51-14-080.txt,1044,220.843,1015.12,1556433.61174,44873.62,504.16,1928.69662835249,2000-01-01 09:51:14
49,500_565_QEPB04081__49__09-51-15-069.txt,1044,220.843,1015.12,1555215.81674,44828.12,504.16,1927.17842911877,2000-01-01 09:51:15
50,500_565_QEPB04081__50__09-51-16-067.txt,1044,220.843,1015.12,1555303.42026,44790.38,504.16,1927.29475095786,2000-01-01 09:51:16
51,500_565_QEPB04081__51__09-51-17-056.txt,1044,220.843,1015.12,1554965.41126,44797.38,504.16,1926.8790421456,2000-01-01 09:51:17
52,500_565_QEPB04081__52__09-51-18-045.txt,1044,220.843,1015.12,1554498.51425,44715.75,504.16,1926.30747126437,2000-01-01 09:51:18
53,500_565_QEPB04081__53__09-51-19-047.txt,1044,220.843,1015.12,1554411.59924,44751.62,504.16,1926.19950191571,2000-01-01 09:51:19
54,500_565_QEPB04081__54__09-51-20-039.txt,1044,220.843,1015.12,1553435.32024,44708.12,504.16,1924.98206896551,2000-01-01 09:51:20
55,500_565_QEPB04081__55__09-51-21-050.txt,1044,220.843,1015.12,1553581.92274,44707.12,504.16,1925.16501915708,2000-01-01 09:51:21
56,500_565_QEPB04081__56__09-51-22-067.txt,1044,220.843,1015.12,1552091.317,44581,504.934,1923.32088122605,2000-01-01 09:51:22
