Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value,Time_HMS
6,500_285_QEPB04081__6__14-55-41-502.txt,1044,220.843,1015.12,969869.2905,29677.5,504.934,1202.0775862069,2000-01-01 14:55:41
7,500_285_QEPB04081__7__14-55-42-500.txt,1044,220.843,1015.12,968848.11326,29616.38,504.934,1200.81390804598,2000-01-01 14:55:42
8,500_285_QEPB04081__8__14-55-43-501.txt,1044,220.843,1015.12,968995.18674,29647.12,504.934,1201.00697318007,2000-01-01 14:55:43
9,500_285_QEPB04081__9__14-55-44-491.txt,1044,220.843,1015.12,968365.82675,29609.25,504.934,1200.22796934866,2000-01-01 14:55:44
10,500_285_QEPB04081__10__14-55-45-499.txt,1044,220.843,1015.12,967753.57924,29528.12,504.934,1199.46770114942,2000-01-01 14:55:45
11,500_285_QEPB04081__11__14-55-46-490.txt,1044,220.843,1015.12,967211.038,29509,505.707,1198.79501915709,2000-01-01 14:55:46
12,500_285_QEPB04081__12__14-55-47-480.txt,1044,220.843,1015.12,966713.83626,29588.88,504.934,1198.1769348659,2000-01-01 14:55:47
13,500_285_QEPB04081__13__14-55-48-469.txt,1044,220.843,1015.12,966725.27425,29518.25,504.934,1198.19348659004,2000-01-01 14:55:48
14,500_285_QEPB04081__14__14-55-49-475.txt,1044,220.843,1015.12,966241.6765,29513.5,505.707,1197.58812260536,2000-01-01 14:55:49
16,500_285_QEPB04081__16__14-55-50-482.txt,1044,220.843,1015.12,966349.61475,29558.75,504.934,1197.72318007663,2000-01-01 14:55:50
17,500_285_QEPB04081__17__14-55-51-473.txt,1044,220.843,1015.12,965452.905,29532,504.934,1196.60057471264,2000-01-01 14:55:51
18,500_285_QEPB04081__18__14-55-52-476.txt,1044,220.843,1015.12,965703.22024,29455.62,504.934,1196.91980842912,2000-01-01 14:55:52
19,500_285_QEPB04081__19__14-55-53-471.txt,1044,220.843,1015.12,965789.70976,29476.88,504.934,1197.02750957855,2000-01-01 14:55:53
20,500_285_QEPB04081__20__14-55-54-467.txt,1044,220.843,1015.12,966144.21625,29463.25,505.707,1197.47701149425,2000-01-01 14:55:54
21,500_285_QEPB04081__21__14-55-55-458.txt,1044,220.843,1015.12,965429.12624,29410.62,505.707,1196.57593869731,2000-01-01 14:55:55
22,500_285_QEPB04081__22__14-55-56-458.txt,1044,220.843,1015.12,965530.33674,29517.62,504.934,1196.70429118774,2000-01-01 14:55:56
23,500_285_QEPB04081__23__14-55-57-451.txt,1044,220.843,1015.12,966043.37126,29520.38,504.934,1197.35318007663,2000-01-01 14:55:57
24,500_285_QEPB04081__24__14-55-58-449.txt,1044,220.843,1015.12,965802.3625,29450,504.934,1197.04885057471,2000-01-01 14:55:58
